Experiment 1
FINEdx,0.248691,0.563296,0.674138,0.409758,0.412122,
ROIndex,0.625332,0.666661,0.755263,0.753667,0.730886,

Experiment 7
Retraining time (s),Insert data = 10^6,2.5*10^6,5*10^6,7.5*10^6,10^7,2.5*10^7,5*10^7,7.5*10^7,10^8,
XIndex,1.08,1.69459,2.91821,4.13742,5.65519,13.3675,26.9978,39.1501,55.5246,
FINEdx,0.712355,0.652066,0.754478,0.7231,1.16921,6.94787,19.9376,29.3741,34.4808,
ROIndex,0.00468075,0.00502679,0.01853,0.0206545,0.0213265,0.0902221,0.0996766,0.273975,0.39628,

Experiment 8
InsertOnly throughput (Mops),Initialization = L-32,L-64,L-128,L-256,L-512,
B-32,5.77,4.76,5.34,4.83,5.42,
B-64,5.73,5.99,5.46,6.05,5.56,
B-128,6.63,6.23,6.83,5.67,6.93,
B-256,6.45,7.36,6.37,7.37,6.26,
B-512,7.51,6.17,7.51,6.56,7.47,
Point query throughput (Mops),Initialization = L-32,L-64,L-128,L-256,L-512,
B-32,12.3,11.7,11.5,11.5,11.9,
B-64,11.4,12.8,11.3,12.1,11.4,
B-128,12.5,11.8,13.5,11.6,12.9,
B-256,11.6,13.7,11.6,14,11.5,
B-512,13.7,11.9,14.3,11.6,14.4,
Range query throughput (Mops),Initialization = L-32,L-64,L-128,L-256,L-512,
B-32,1.5,1.49,1.51,1.48,1.5,
B-64,1.57,1.63,1.56,1.66,1.57,
B-128,1.84,1.75,1.85,1.73,1.86,
B-256,1.8,1.87,1.77,1.9,1.79,
B-512,1.95,1.87,1.99,1.86,2,
Space efficiency (MBS),Idle slots in buffer,Stored KVs in buffer,Trained KVs,Other,
B-32,327.1231079,765.5929565,820.3201294,1587.377701,
B-64,248.0575562,591.6641235,989.541626,1191.671753,
B-128,310.9863281,896.1791992,651.2634277,612.6174927,
B-256,171.7932129,462.713623,1063.424683,535.1636505,
B-512,352.1557617,982.7026367,543.1762695,290.4490662,
